Document,Token,Frequency,Weight
0,18,1,0.57
0,edit,4,1.54
0,dewey,3,1.57
0,decim,2,0.98
0,classif,2,0.59
0,present,1,0.19
0,studi,1,0.18
0,histori,2,0.74
0,first,2,0.49
0,ddc,2,1.23
0,wa,1,0.18
0,publish,1,0.28
0,1876,1,0.64
0,eighteenth,1,0.79
0,1971,1,0.43
0,futur,1,0.3
0,continu,1,0.34
0,appear,1,0.31
0,need,1,0.21
0,spite,1,0.58
0,long,1,0.44
0,healthi,1,0.79
0,life,1,0.42
0,howev,1,0.29
0,full,1,0.41
0,stori,1,0.64
0,ha,2,0.33
0,never,1,0.5
0,told,1,0.64
0,biographi,1,0.67
0,briefli,1,0.41
0,describ,1,0.2
0,hi,1,0.3
0,system,1,0.15
0,thi,2,0.22
0,attempt,1,0.28
0,provid,1,0.21
0,detail,1,0.3
0,work,1,0.21
0,ani,1,0.28
0,spur,1,0.67
0,growth,1,0.34
0,librarianship,1,0.37
0,countri,1,0.38
0,abroad,1,0.62
1,use,6,0.38
1,made,1,0.11
1,technic,4,0.55
1,librari,8,0.56
1,thi,2,0.11
1,report,1,0.12
1,analysi,1,0.11
1,6300,1,0.4
1,act,2,0.44
1,104,1,0.4
1,unit,1,0.15
1,kingdom,1,0.27
1,onli,2,0.23
1,one,2,0.19
1,aspect,1,0.15
1,wider,1,0.24
1,pattern,1,0.16
1,inform,7,0.44
1,transfer,4,0.85
1,restrict,1,0.22
1,document,2,0.21
1,take,2,0.34
1,account,1,0.17
1,outsid,1,0.24
1,still,1,0.21
1,le,1,0.17
1,oral,1,0.32
1,person,3,0.51
1,channel,1,0.24
1,proport,2,0.42
1,situat,1,0.17
1,whole,1,0.19
1,doubt,1,0.26
1,major,1,0.13
1,user,2,0.22
1,particularli,1,0.19
1,technolog,1,0.14
1,rather,1,0.17
1,scienc,1,0.1
1,visit,1,0.28
1,rare,1,0.25
1,reli,1,0.28
1,desk,1,0.31
1,collect,1,0.12
1,handbook,1,0.27
1,current,1,0.13
1,period,1,0.14
1,contact,1,0.27
1,colleagu,1,0.26
1,peopl,1,0.18
1,organ,1,0.12
1,even,1,0.16
1,regular,1,0.22
1,also,1,0.11
1,receiv,1,0.19
1,way,1,0.13
2,two,1,0.13
2,kind,1,0.19
2,power,6,1.48
2,essay,1,0.26
2,bibliograph,4,0.59
2,control,7,1.25
2,relationship,1,0.18
2,organ,2,0.28
2,write,4,0.94
2,knowledg,6,1.02
2,inform,3,0.22
2,inevit,1,0.3
2,enter,1,0.29
2,stori,1,0.37
2,contain,2,0.4
2,along,1,0.24
2,much,1,0.18
2,el,1,0.34
2,great,1,0.19
2,deal,1,0.18
2,mankind,1,0.37
2,stock,1,0.3
2,form,3,0.43
2,familiar,1,0.28
2,slogan,1,0.45
2,claim,1,0.26
2,certain,1,0.18
2,sen,1,0.22
2,obtain,1,0.17
2,record,1,0.17
2,written,1,0.21
2,simpli,2,0.57
2,ani,1,0.16
2,simpl,1,0.21
2,way,1,0.15
2,storehous,1,0.41
2,cannot,1,0.26
2,satisfactorili,1,0.34
2,discus,1,0.12
3,system,1,0.12
3,analysi,1,0.17
3,univers,3,0.58
3,librari,5,0.56
3,final,1,0.28
3,report,2,0.38
3,research,2,0.28
3,project,1,0.24
3,establish,1,0.24
3,nine,1,0.35
3,new,1,0.17
3,1960,1,0.39
3,provok,1,0.54
3,highli,1,0.32
3,stimul,1,0.45
3,re-examin,1,0.51
3,natur,1,0.22
3,purpos,1,0.21
3,manag,1,0.24
3,academ,2,0.5
3,long-establish,1,0.57
3,attitud,1,0.35
3,method,1,0.16
3,question,1,0.22
3,although,1,0.28
3,chang,2,0.46
3,made,1,0.18
3,basic,1,0.22
3,difficulti,1,0.33
3,remain,1,0.32
3,lack,1,0.35
3,object,1,0.24
3,inform,1,0.1
3,best,1,0.3
3,way,1,0.21
3,provid,1,0.17
3,servic,1,0.16
3,ugc,1,0.57
3,committe,1,0.34
3,parri,1,0.57
3,repot,1,0.57
3,267,1,0.54
3,gener,1,0.15
3,endors,1,0.57
3,also,1,0.18
3,stress,1,0.38
3,need,1,0.17
3,aspect,1,0.24
3,provis,1,0.38
4,librari,1,0.09
4,manag,3,0.61
4,game,6,2.56
4,report,1,0.16
4,research,1,0.12
4,project,1,0.2
4,although,1,0.24
4,use,5,0.42
4,profession,2,0.44
4,educ,2,0.41
4,ha,4,0.44
4,becom,2,0.41
4,widespread,1,0.35
4,onli,1,0.15
4,dure,1,0.21
4,last,1,0.24
4,decad,1,0.27
4,method,1,0.14
4,number,1,0.15
4,field,1,0.16
4,mani,2,0.31
4,hundr,1,0.3
4,year,1,0.15
4,origin,1,0.21
4,trace,1,0.34
4,simpl,1,0.25
4,war,1,0.35
4,militari,1,0.38
4,train,1,0.27
4,real,1,0.3
4,thing,1,0.33
4,wa,2,0.24
4,either,1,0.23
4,unavail,1,0.43
4,danger,1,0.38
4,recent,1,0.2
4,time,1,0.15
4,sophist,2,0.67
4,larg,1,0.16
4,electron,1,0.29
4,comput,2,0.3
4,handl,1,0.24
4,complex,1,0.24
4,calcul,1,0.31
4,involv,1,0.21
4,sinc,1,0.2
4,1956,1,0.39
4,first,1,0.16
4,well-develop,1,0.48
4,introduc,1,0.27
4,techniqu,2,0.33
4,spread,1,0.35
4,rapidli,1,0.28
4,wide,1,0.24
4,varieti,1,0.24
4,disciplin,1,0.23
4,today,1,0.27
4,level,1,0.22
4,primari,1,0.26
4,school,1,0.22
4,class,1,0.25
4,cours,1,0.23
4,experienc,1,0.34
4,men,1,0.32
4,woman,1,0.41
4,one,1,0.12
4,main,1,0.24
4,caus,1,0.29
4,thi,1,0.07
4,explos,1,0.34
4,rapid,2,0.51
4,develop,1,0.11
4,simul,1,0.32
4,mathemat,1,0.23
4,model,1,0.2
4,made,1,0.15
4,possibl,1,0.16
4,advanc,1,0.22
4,technolog,1,0.19
5,abstract,10,1.13
5,concept,2,0.2
5,method,2,0.16
5,graduat,1,0.17
5,librari,1,0.06
5,school,1,0.13
5,studi,1,0.07
5,how-to-do-it,1,0.32
5,cours,1,0.14
5,includ,2,0.2
5,gener,1,0.07
5,materi,1,0.11
5,characteristc,1,0.32
5,type,2,0.22
